# (pymysql.err.IntegrityError) (1452, 'Cannot add or update a child row: a foreign key constraint fails (`findabug`.`annotations_kegg_r207`, CONSTRAINT `annotations_kegg_r207_ibfk_2` FOREIGN KEY (`gene_id`) REFERENCES `proteins_r207` (`gene_id`))')
# [SQL: INSERT INTO annotations_kegg_r207 (version, gene_id, genome_id, ko, threshold, score, e_value) VALUES (%(version)s, %(gene_id)s, %(genome_id)s, %(ko)s, %(threshold)s, %(score)s, %(e_value)s)]
# [parameters: [{'version': 207, 'gene_id': 'PAQI01000002.1_19', 'genome_id': 'GCA_002709235.1', 'ko': 'K02233', 'threshold': 43.53, 'score': 0.0, 'e_value': 60.0}, {'version': 207, 'gene_id': 'PAQI01000002.1_61', 'genome_id': 'GCA_002709235.1', 'ko': 'K03905', 'threshold': 382.27, 'score': -2.9, 'e_value': 450.0}, {'version': 207, 'gene_id': 'PAQI01000002.1_61', 'genome_id': 'GCA_002709235.1', 'ko': 'K10063', 'threshold': 404.3, 'score': -8.1, 'e_value': 3600.0}, {'version': 207, 'gene_id': 'PAQI01000002.1_68', 'genome_id': 'GCA_002709235.1', 'ko': 'K06078', 'threshold': 33.9, 'score': 1.9, 'e_value': 76.0}, {'version': 207, 'gene_id': 'PAQI01000002.1_145', 'genome_id': 'GCA_002709235.1', 'ko': 'K08987', 'threshold': 33.37, 'score': 0.1, 'e_value': 69.0}, {'version': 207, 'gene_id': 'PAQI01000002.1_254', 'genome_id': 'GCA_002709235.1', 'ko': 'K21908', 'threshold': 34.43, 'score': 0.6, 'e_value': 67.0}, {'version': 207, 'gene_id': 'PAQI01000003.1_102', 'genome_id': 'GCA_002709235.1', 'ko': 'K01992', 'threshold': 18.2, 'score': 0.5, 'e_value': 69.0}, {'version': 207, 'gene_id': 'PAQI01000003.1_107', 'genome_id': 'GCA_002709235.1', 'ko': 'K07052', 'threshold': 32.0, 'score': 0.8, 'e_value': 45.0}  ... displaying 10 of 11229 total bound parameter sets ...  {'version': 207, 'gene_id': 'JAFQLS010000018.1_2', 'genome_id': 'GCA_017396555.1', 'ko': 'K03558', 'threshold': 40.3, 'score': 0.4, 'e_value': 44.0}, {'version': 207, 'gene_id': 'JAFQLS010000018.1_2', 'genome_id': 'GCA_017396555.1', 'ko': 'K15383', 'threshold': 46.97, 'score': -0.4, 'e_value': 81.0}]]
# (Background on this error at: https://sqlalche.me/e/20/gkpj)
gene_id,ko,threshold,score,e_value,genome_id,version
NZ_ML123034.1_566,K01992,18.2,-0.0,170.0,GCF_003846185.1,207
NZ_ML123034.1_609,K02451,58.87,1.6,94.0,GCF_003846185.1,207
NZ_ML123034.1_629,K01992,18.2,0.9,87.0,GCF_003846185.1,207
NZ_ML123034.1_629,K21449,14.13,0.4,43.0,GCF_003846185.1,207
NZ_ML123034.1_650,K22736,34.57,0.8,79.0,GCF_003846185.1,207
NZ_ML123034.1_680,K08992,32.83,2.8,49.0,GCF_003846185.1,207
NZ_ML123034.1_743,K12199,107.17,-0.1,130.0,GCF_003846185.1,207
NZ_ML123034.1_761,K09892,30.8,-10.3,6000.0,GCF_003846185.1,207
NZ_ML123034.1_793,K11095,54.43,0.8,120.0,GCF_003846185.1,207
NZ_ML123034.1_802,K24915,36.03,1.0,76.0,GCF_003846185.1,207
NZ_ML123034.1_842,K01992,18.2,0.7,98.0,GCF_003846185.1,207
NZ_ML123034.1_877,K19736,166.63,0.3,280.0,GCF_003846185.1,207
NZ_ML123034.1_927,K20383,69.67,-3.1,2600.0,GCF_003846185.1,207
NZ_ML123034.1_967,K11937,43.3,0.6,120.0,GCF_003846185.1,207
NZ_ML123034.1_967,K02038,248.07,-1.6,260.0,GCF_003846185.1,207
NZ_ML123034.1_1021,K03744,28.53,1.4,65.0,GCF_003846185.1,207
NZ_ML123034.1_1052,K07090,39.27,1.4,43.0,GCF_003846185.1,207
NZ_ML123034.1_1117,K07052,32.0,1.4,49.0,GCF_003846185.1,207
NZ_ML123034.1_1118,K00127,92.9,0.4,110.0,GCF_003846185.1,207
NZ_ML123034.1_1120,K23675,45.57,1.6,85.0,GCF_003846185.1,207
NZ_ML123034.1_1145,K01992,18.2,2.9,21.0,GCF_003846185.1,207
NZ_ML123034.1_1212,K03803,50.43,1.0,96.0,GCF_003846185.1,207
NZ_ML123034.1_1323,K06078,33.9,2.0,120.0,GCF_003846185.1,207
NZ_ML123034.1_1323,K08334,46.3,-0.4,130.0,GCF_003846185.1,207
NZ_ML123034.1_1323,K07164,76.43,-0.8,240.0,GCF_003846185.1,207
NZ_ML123034.1_1324,K11341,141.47,-1.2,400.0,GCF_003846185.1,207
NZ_ML123034.1_1324,K18719,180.97,-1.8,250.0,GCF_003846185.1,207
NZ_ML123034.1_1325,K04074,54.3,1.8,59.0,GCF_003846185.1,207
NZ_ML123034.1_1325,K02664,63.57,1.4,64.0,GCF_003846185.1,207
NZ_ML123034.1_1325,K06504,152.03,-0.7,230.0,GCF_003846185.1,207
NZ_ML123034.1_1349,K09892,30.8,-3.7,6000.0,GCF_003846185.1,207
NZ_ML123034.1_1356,K07794,45.6,0.2,160.0,GCF_003846185.1,207
NZ_ML123034.1_1357,K07090,39.27,-0.6,180.0,GCF_003846185.1,207
NZ_ML123034.1_1454,K07052,32.0,0.9,66.0,GCF_003846185.1,207
NZ_ML123034.1_1454,K24131,52.33,0.4,91.0,GCF_003846185.1,207
NZ_ML123034.1_1481,K03305,312.8,-2.1,350.0,GCF_003846185.1,207
NZ_ML123034.1_1499,K10607,163.03,-0.6,180.0,GCF_003846185.1,207
